UBIGEO,DEPARTAMEN,PROVINCIA,DISTRITO,lat,lon
070101,CALLAO,CALLAO,CALLAO,-12.016531853773754,-77.12162933290058
070102,CALLAO,CALLAO,BELLAVISTA,-12.060000050152153,-77.10994624396973
070103,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,-12.042821186012837,-77.09049437753247
070104,CALLAO,CALLAO,LA PERLA,-12.070289204274046,-77.11613779301226
070105,CALLAO,CALLAO,LA PUNTA,-12.071664591666948,-77.16283144896003
070106,CALLAO,CALLAO,VENTANILLA,-11.879150698313806,-77.13087760084363
070107,CALLAO,CALLAO,MI PERU,-11.854338500665511,-77.12055588762937
150101,LIMA,LIMA,LIMA,-12.051056044445154,-77.0490384939411
150102,LIMA,LIMA,ANCON,-11.702561195121302,-77.0958836802843
150103,LIMA,LIMA,ATE,-12.032668279364325,-76.87732424706071
150104,LIMA,LIMA,BARRANCO,-12.14407288732261,-77.02087864589393
150105,LIMA,LIMA,BREÑA,-12.059144068442201,-77.05063663035376
150106,LIMA,LIMA,CARABAYLLO,-11.807387466434845,-76.97292314015024
150107,LIMA,LIMA,CHACLACAYO,-11.991641408157152,-76.76697014124352
150108,LIMA,LIMA,CHORRILLOS,-12.19264559552353,-77.0059875447235
150109,LIMA,LIMA,CIENEGUILLA,-12.076547508423412,-76.77746026436373
150110,LIMA,LIMA,COMAS,-11.929075265146317,-77.03892002388048
150111,LIMA,LIMA,EL AGUSTINO,-12.040124917336104,-76.98754157455359
150112,LIMA,LIMA,INDEPENDENCIA,-11.98747700441787,-77.04600826780712
150113,LIMA,LIMA,JESUS MARIA,-12.078089421969867,-77.04824189170918
150114,LIMA,LIMA,LA MOLINA,-12.087999138093702,-76.92589921656021
150115,LIMA,LIMA,LA VICTORIA,-12.072318322872656,-77.0173715969804
150116,LIMA,LIMA,LINCE,-12.085769925624463,-77.03569138906232
150117,LIMA,LIMA,LOS OLIVOS,-11.972516774458521,-77.0743778009486
150118,LIMA,LIMA,LURIGANCHO,-11.958610049621822,-76.80155432047351
150119,LIMA,LIMA,LURIN,-12.234354240858694,-76.80155226054025
150120,LIMA,LIMA,MAGDALENA DEL MAR,-12.094578111394009,-77.06701485899225
150121,LIMA,LIMA,PUEBLO LIBRE,-12.075080483807353,-77.06578916744917
150122,LIMA,LIMA,MIRAFLORES,-12.12079337167278,-77.02908888575445
150123,LIMA,LIMA,PACHACAMAC,-12.160005254767114,-76.80987502305172
150124,LIMA,LIMA,PUCUSANA,-12.466234263767813,-76.77598637836098
150125,LIMA,LIMA,PUENTE PIEDRA,-11.872131771701941,-77.08666374696126
150126,LIMA,LIMA,PUNTA HERMOSA,-12.26924784060556,-76.74373514171388
150127,LIMA,LIMA,PUNTA NEGRA,-12.303626059905671,-76.70942151295942
150128,LIMA,LIMA,RIMAC,-12.023597077803425,-77.03258816327288
150129,LIMA,LIMA,SAN BARTOLO,-12.36938280031401,-76.72414371988218
150130,LIMA,LIMA,SAN BORJA,-12.097535500212308,-76.99526279706473
150131,LIMA,LIMA,SAN ISIDRO,-12.09900136004697,-77.0367725194414
150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,-11.945943491719014,-76.97145806984348
150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,-12.157819022557891,-76.96652319239993
150134,LIMA,LIMA,SAN LUIS,-12.074104812735756,-76.99729841037372
150135,LIMA,LIMA,SAN MARTIN DE PORRES,-11.99276299681688,-77.08850750551804
150136,LIMA,LIMA,SAN MIGUEL,-12.076598606981802,-77.09008987063348
150137,LIMA,LIMA,SANTA ANITA,-12.04323580210094,-76.96325286966231
150138,LIMA,LIMA,SANTA MARIA DEL MAR,-12.408711341346855,-76.76730888213194
150139,LIMA,LIMA,SANTA ROSA,-11.804886474253411,-77.16332165310553
150140,LIMA,LIMA,SANTIAGO DE SURCO,-12.127225144336414,-76.98451695795126
150141,LIMA,LIMA,SURQUILLO,-12.113401380384243,-77.01298988948334
150142,LIMA,LIMA,VILLA EL SALVADOR,-12.219174266853562,-76.94544232443332
150143,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,-12.170301518532616,-76.91899847887166
